Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
17/9/16,1428.00,1712.00,1.17,0.00,1350.00,90.00,0.00,0.00,207.00
18/9/16,1391.00,566.00,0.39,0.00,1374.00,66.00,0.00,0.00,149.00
19/9/16,1403.00,861.00,0.59,0.00,1366.00,74.00,0.00,0.00,168.00
20/9/16,1412.00,756.00,0.52,0.00,1361.00,79.00,0.00,0.00,181.00
21/9/16,1452.00,2088.00,1.43,0.00,1332.00,108.00,0.00,0.00,248.00
22/9/16,1421.00,782.00,0.54,0.00,1353.00,87.00,0.00,0.00,198.00
23/9/16,1434.00,1716.00,1.18,0.00,1343.00,97.00,0.00,0.00,220.00
24/9/16,1395.00,585.00,0.40,0.00,1372.00,68.00,0.00,0.00,155.00
25/9/16,1430.00,1626.00,1.11,0.00,1348.00,92.00,0.00,0.00,211.00
26/9/16,1420.00,1097.00,0.75,0.00,1354.00,86.00,0.00,0.00,196.00
27/9/16,1436.00,1435.00,0.98,0.00,1342.00,98.00,0.00,0.00,223.00
28/9/16,1360.00,448.00,0.31,0.00,1397.00,43.00,0.00,0.00,97.00
29/9/16,1492.00,2818.00,1.93,0.00,1306.00,134.00,0.00,0.00,311.00
30/9/16,1422.00,1513.00,1.04,1.00,1354.00,86.00,0.00,0.00,198.00
1/10/16,1434.00,1710.00,1.17,1.00,1346.00,94.00,0.00,0.00,217.00
2/10/16,1411.00,810.00,0.55,0.00,1360.00,80.00,0.00,0.00,181.00
3/10/16,1405.00,799.00,0.55,0.00,1364.00,76.00,0.00,0.00,172.00
